# Used time: 13.85179877281189 s
# average_objv, maximum_objv
3195903.000000, 3196648.750000
3196243.250000, 3196648.750000
3196242.250000, 3196648.750000
3196259.500000, 3196648.750000
3196158.500000, 3196648.750000
3196267.250000, 3196648.750000
3196275.750000, 3196648.750000
3196392.000000, 3196648.750000
3196435.000000, 3196648.750000
3196482.250000, 3196648.750000
3196474.750000, 3196648.750000
3196520.500000, 3196648.750000
3196520.750000, 3196648.750000
3196496.500000, 3196648.750000
3196544.750000, 3196648.750000
3196584.000000, 3196648.750000
3196580.250000, 3196648.750000
3196588.500000, 3196648.750000
3196557.250000, 3196648.750000
3196551.500000, 3196648.750000
3196552.750000, 3196648.750000
3196536.500000, 3196648.750000
3196506.000000, 3196648.750000
3196507.750000, 3196648.750000
3196529.000000, 3196648.750000
3196529.000000, 3196648.750000
3196548.000000, 3196648.750000
3196548.000000, 3196648.750000
3196548.000000, 3196648.750000
3196548.750000, 3196648.750000
3196554.000000, 3196648.750000
3196573.500000, 3196648.750000
3196609.000000, 3196648.750000
3196609.000000, 3196648.750000
3196611.000000, 3196648.750000
3196616.500000, 3196648.750000
3196616.250000, 3196648.750000
3196621.250000, 3196648.750000
3196627.250000, 3196648.750000
3196628.250000, 3196648.750000
3196627.750000, 3196648.750000
3196628.000000, 3196648.750000
3196628.250000, 3196648.750000
3196627.500000, 3196648.750000
3196627.250000, 3196648.750000
3196627.250000, 3196648.750000
3196624.250000, 3196648.750000
3196624.750000, 3196648.750000
3196597.500000, 3196648.750000
3196602.250000, 3196648.750000
3196601.750000, 3196648.750000
3196601.750000, 3196648.750000
3196601.750000, 3196648.750000
3196607.750000, 3196648.750000
3196532.500000, 3196648.750000
3196546.500000, 3196648.750000
3196577.250000, 3196648.750000
3196573.500000, 3196648.750000
3196550.000000, 3196648.750000
3196556.500000, 3196648.750000
3196589.250000, 3196648.750000
3196616.750000, 3196648.750000
3196600.250000, 3196648.750000
3196600.500000, 3196648.750000
3196608.000000, 3196648.750000
3196611.750000, 3196648.750000
3196618.750000, 3196648.750000
3196618.250000, 3196648.750000
3196618.000000, 3196648.750000
3196598.250000, 3196648.750000
3196622.250000, 3196648.750000
3196622.750000, 3196648.750000
3196622.750000, 3196648.750000
3196622.750000, 3196648.750000
3196625.500000, 3196648.750000
3196636.250000, 3196648.750000
3196636.250000, 3196648.750000
3196639.250000, 3196648.750000
3196639.250000, 3196648.750000
3196633.250000, 3196648.750000
3196633.250000, 3196648.750000
3196636.750000, 3196648.750000
3196639.250000, 3196648.750000
3196627.750000, 3196648.750000
3196627.750000, 3196648.750000
3196622.500000, 3196648.750000
3196622.500000, 3196648.750000
3196638.750000, 3196648.750000
3196638.750000, 3196648.750000
3196640.000000, 3196648.750000
3196640.000000, 3196648.750000
3196640.000000, 3196648.750000
3196640.750000, 3196648.750000
3196640.750000, 3196648.750000
3196640.750000, 3196648.750000
3196630.750000, 3196648.750000
3196639.500000, 3196648.750000
3196639.500000, 3196648.750000
3196639.250000, 3196648.750000
3196639.250000, 3196648.750000
3196639.250000, 3196648.750000
3196625.500000, 3196648.750000
3196625.500000, 3196648.750000
3196609.250000, 3196648.750000
3196611.000000, 3196648.750000
3196625.750000, 3196648.750000
3196627.500000, 3196648.750000
3196628.000000, 3196648.750000
3196628.000000, 3196648.750000
3196628.500000, 3196648.750000
3196628.500000, 3196648.750000
3196635.000000, 3196648.750000
3196635.000000, 3196648.750000
3196642.000000, 3196648.750000
3196642.250000, 3196648.750000
3196642.000000, 3196648.750000
3196642.000000, 3196648.750000
3196633.750000, 3196648.750000
3196633.750000, 3196648.750000
3196640.750000, 3196648.750000
3196640.500000, 3196648.750000
3196643.000000, 3196648.750000
3196643.000000, 3196648.750000
3196645.000000, 3196648.750000
3196645.000000, 3196648.750000
3196645.000000, 3196648.750000
